id,salary_in_usd
0,67988.41969868913
1,143334.30698057357
2,106776.93182433117
3,61648.57060226705
4,68687.74142152537
5,67988.41969868913
6,92889.54487018846
7,29405.354315028526
8,52495.96768533252
9,165906.44666183647
10,28931.37995249871
11,156509.3752914453
12,66192.08929160517
13,37814.45633337274
14,82646.67199790291
15,41469.23254754115
16,95420.99767463282
17,147495.4235524172
18,35817.508474595845
19,63329.14367731381
20,78425.56923065241
21,33566.47088687215
22,106715.90992321912
23,159270.18791622203
24,45025.73687330261
25,33092.496524342336
26,98341.99071299843
27,164617.53933317307
28,55379.42325577326
29,152953.09332002793
30,139430.70605231542
31,128285.51153723616
32,137856.66776668746
33,61510.636938230135
34,49324.78710918408
35,52654.41130551975
36,159270.18791622203
37,42905.337169131264
38,49324.78710918408
39,170067.5632336801
40,48647.63232535403
41,53638.94597818889
42,110938.0483961748
43,163395.5038135415
44,103792.01461350638
45,230324.6708293287
46,131248.02433445211
47,40116.558710477315
48,128285.51153723616
49,45025.73687330261
50,118888.44016684499
51,79332.07444182318
52,128737.08148615528
53,140859.16480679903
54,98851.76575004961
55,60762.57534724474
56,156759.24506792706
57,187131.03692747
58,126873.92933182139
59,163431.3044880638
60,126873.92933182139
61,223688.4120837124
62,163431.3044880638
63,157981.28058755677
64,167189.50898626354
65,163431.3044880638
66,163431.3044880638
67,163431.3044880638
68,121423.90543131437
69,69970.8037459515
70,135409.140906292
71,174228.67980552185
72,91827.70356391463
73,66212.59924775176
74,99582.11424647458
75,135409.140906292
76,66212.59924775176
77,66212.59924775176
78,116199.22889111284
79,148931.52817400452
80,66212.59924775176
81,70337.91514507215
82,129721.61615882535
83,205370.71978511754
84,104301.78965055663
85,54090.51592710707
86,54090.51592710707
87,156759.24506792706
88,163431.3044880638
89,62557.82303358428
90,59188.53706161678
91,70337.91514507215
92,130724.1542260712
93,51128.00312989298
94,163431.3044880638
95,166313.68003892805
96,39978.625046437606
97,59540.53982761409
98,24205.200191001408
99,157981.28058755677
100,163431.3044880638
101,126873.92933182139
102,126873.92933182139
103,163431.3044880638
104,156759.24506792706
105,4995.288175822236
106,121423.90543131437
